UWI,START_DATE,OIL,GAS,WATER
CC865,2008-01-01,42266,31065,24814
CC872,2008-01-01,39436,37015,0
CC374,2008-01-01,29569,15901,779
TF381,2008-01-01,9114,2289,330
TF172,2008-01-01,56918,29074,1224
YP174,2008-01-01,5710,3540,245
ON397,2008-01-01,10097,6264,2844
TF267,2008-01-01,52618,66173,4341
DS773,2008-01-01,29453,37038,0
AB517,2008-01-01,73072,64131,67
AB540,2008-01-01,14575,5029,60
TF339,2008-01-01,80016,57128,300
BR477,2008-01-01,29192,11348,763
ON442,2008-01-01,31763,26600,136
ON848,2008-01-01,39264,23462,2008
YP549,2008-01-01,18623,10535,138
YP861,2008-01-01,65977,28996,1355
ON829,2008-01-01,20852,10410,257
TR129,2008-01-01,31076,20956,355
DS698,2008-01-01,36877,25149,4452
RK279,2008-01-01,23794,18013,0
BR554,2008-01-01,24537,8001,9878
TR400,2008-01-01,40618,18899,430
CC310,2008-01-01,41492,43523,3575
AB838,2008-01-01,84478,61584,0
ON316,2008-01-01,46641,30628,80
TF407,2008-01-01,37999,23627,898
TF267,2008-01-01,30968,23598,1695
TF149,2008-01-01,65271,47137,2849
AB344,2008-01-01,24625,31264,892
CC142,2008-01-01,16172,7478,36
TR444,2008-01-01,39009,17153,718
ON829,2008-01-01,24576,13157,0
YP647,2008-01-01,8083,1703,537
ON506,2008-01-01,70059,60516,2648
BR772,2008-01-01,40174,12237,115
AB735,2008-01-01,50553,36647,11127
TR797,2008-01-01,80254,36726,0
CC565,2008-01-01,43236,25635,755
TF143,2008-01-01,29428,21603,1150
CC627,2008-01-01,29493,19785,674
RK854,2008-01-01,27236,13472,2312
AB323,2008-01-01,16665,14906,19
CC766,2008-01-01,30462,18951,3263
TR382,2008-01-01,41309,32756,335
CC504,2008-01-01,45420,30492,5934
ON602,2008-01-01,19869,13539,132
BR832,2008-01-01,30921,23690,0
RK539,2008-01-01,29549,25027,29
RK789,2008-01-01,38829,30175,80
ON820,2008-01-01,31602,16026,8773
TF770,2008-01-01,39149,18031,3016
YP737,2008-01-01,27698,19893,11
ON506,2008-01-01,70889,37574,1929
ON120,2008-01-01,42330,24859,65
CC782,2008-01-01,17736,8086,352
YP693,2008-01-01,31025,14416,3998
YP203,2008-01-01,6749,2846,299
DS887,2008-01-01,91777,63688,12973
TR331,2008-01-01,47107,51679,41
BR254,2008-01-01,49763,25663,0
DS161,2008-01-01,21796,23034,521
DS378,2008-01-01,81582,68427,2079
BR159,2008-02-01,17140,12724,614
DS780,2008-02-01,49105,37734,2329
ON333,2008-02-01,46641,34861,2607
RK450,2008-02-01,13499,9040,100
DS496,2008-02-01,42083,23074,0
YP549,2008-02-01,23595,11448,144
AB323,2008-02-01,29051,23262,0
TF267,2008-02-01,27912,28140,2227
RK171,2008-02-01,30964,20421,852
DS884,2008-02-01,25788,11623,2327
YP549,2008-02-01,55283,62866,2465
YP676,2008-02-01,28630,43562,48755
DS689,2008-02-01,28661,24017,2063
DS496,2008-02-01,3364,1951,843
RK789,2008-02-01,40813,25583,43
TF719,2008-02-01,25783,9820,637
AB590,2008-02-01,22429,16029,0
ON829,2008-02-01,34090,25259,34
DS378,2008-02-01,55328,68621,2549
TF339,2008-02-01,63628,45132,678
DS607,2008-02-01,18129,10709,344
YP467,2008-02-01,31625,15000,4243
ON804,2008-02-01,48107,45205,4115
CC627,2008-02-01,26113,15800,650
ON308,2008-02-01,31516,20320,87
BR772,2008-02-01,54199,31632,184
RK114,2008-02-01,46493,42085,14569
ON236,2008-02-01,35792,18512,861
RK747,2008-02-01,27094,10755,923
CC504,2008-02-01,69327,35009,1626
BR164,2008-02-01,24835,19839,124
RK361,2008-02-01,30104,28631,24196
AB824,2008-02-01,36933,22905,32
TR336,2008-02-01,41505,32579,4703
TR129,2008-02-01,25286,19630,351
AB759,2008-02-01,9828,4884,1303
RK302,2008-02-01,23067,15153,48
YP203,2008-02-01,55325,37935,60
TR418,2008-02-01,60542,47269,0
TF143,2008-02-01,28417,16391,886
CC636,2008-02-01,51697,37714,5077
TR376,2008-02-01,48847,16062,0
YP471,2008-02-01,32220,17889,0
YP714,2008-02-01,32799,22159,11
ON829,2008-02-01,47466,14837,332
BR264,2008-02-01,42879,42955,0
TF407,2008-02-01,38555,16768,644
YP861,2008-02-01,42167,31400,1020
DS161,2008-02-01,28006,33108,641
DS161,2008-02-01,65758,51951,16079
ON120,2008-02-01,39394,26529,92
CC142,2008-02-01,24208,14766,64
TF695,2008-02-01,17765,13605,2273
AB424,2008-02-01,26310,8896,335
TR135,2008-02-01,37296,16659,267
YP166,2008-02-01,29193,14059,324
DS234,2008-02-01,31131,27536,9108
RK301,2008-02-01,45875,27911,42
ON663,2008-02-01,25834,18531,807
TR516,2008-02-01,33510,18012,529
TF850,2008-02-01,29531,4477,488
BR554,2008-02-01,10328,1840,6092
CC504,2008-02-01,43732,30061,3397
TF267,2008-02-01,46606,51020,4131
CC142,2008-02-01,55965,48797,3625
AB540,2008-02-01,16210,8200,74
TR235,2008-02-01,16062,8960,163
TR753,2008-02-01,33212,19944,3794
CC646,2008-02-01,26796,13968,4381
TR444,2008-02-01,21394,8840,475
DS558,2008-02-01,25812,13677,134
RK113,2008-02-01,24637,16597,1970
AB388,2008-02-01,61579,45763,13889
CC482,2008-02-01,29388,21614,1487
TF149,2008-02-01,33433,23404,4408
YP785,2008-02-01,60811,28848,446
DS780,2008-02-01,68426,42117,2320
CC653,2008-02-01,17486,16073,40262
ON602,2008-02-01,39016,23594,547
TR797,2008-02-01,58096,45969,0
BR477,2008-02-01,38549,27103,857
YP174,2008-02-01,5445,2156,112
TR331,2008-02-01,54608,48381,50
RK128,2008-02-01,23405,11612,5272
YP373,2008-02-01,37009,50029,1373
AB560,2008-02-01,30830,41634,0
TR455,2008-02-01,22430,18254,56
