UWI,START_DATE,OIL,GAS,WATER
DS698,1974-07-01,513538,391880,0
CC504,1974-07-01,660480,404910,0
BR312,1974-07-01,742422,480760,0
DS241,1974-07-01,574033,356160,0
BR819,1974-07-01,384265,327120,0
ON394,1974-07-01,490469,295480,0
AB494,1974-07-01,386635,240960,0
DS652,1974-07-01,790546,471120,0
BR704,1974-07-01,406200,331800,0
TR791,1974-07-01,607119,435540,0
CC782,1974-07-01,386501,267300,0
YP676,1974-07-01,621414,532510,0
TF335,1974-07-01,172881,133340,0
TF267,1974-07-01,148208,0,0
ON369,1974-07-01,178055,127200,0
BR710,1974-07-01,789495,435780,0
TF695,1974-07-01,8784,8143,0
CC636,1974-07-01,607118,518760,0
RK345,1974-07-01,693501,403380,0
TF359,1974-07-01,388058,301500,0
CC633,1974-07-01,56638,0,0
YP570,1974-07-01,705772,537540,0
TF740,1974-07-01,218903,174900,0
AB257,1974-07-01,712856,595080,0
ON397,1974-07-01,206998,0,0
TR758,1974-08-01,507481,350170,0
CC482,1974-08-01,2525,960,0
YP676,1974-08-01,657406,502080,0
TF740,1974-08-01,652429,274550,0
ON369,1974-08-01,497290,413100,0
TF335,1974-08-01,389419,404800,0
ON397,1974-08-01,626127,0,0
TR791,1974-08-01,70862,54720,0
RK345,1974-08-01,511086,331800,0
CC782,1974-08-01,442940,276300,0
BR819,1974-08-01,321675,251920,0
DS652,1974-08-01,357688,269760,0
CC636,1974-08-01,677989,360220,0
BR710,1974-08-01,510491,407340,0
BR704,1974-08-01,358453,329460,0
TF359,1974-08-01,517410,511290,0
DS241,1974-08-01,541921,398650,0
DS698,1974-08-01,693688,449450,0
BR312,1974-08-01,797930,427550,0
TF695,1974-08-01,224845,169059,0
CC504,1974-08-01,585182,386340,0
RK403,1974-08-01,156432,141700,0
YP570,1974-08-01,631026,554040,0
TF267,1974-08-01,787216,0,0
AB257,1974-08-01,595916,396050,0
TF740,1974-08-01,126985,108290,0
ON394,1974-08-01,388164,343850,0
TF695,1974-09-01,640397,518006,0
BR312,1974-09-01,850519,439890,0
AB257,1974-09-01,213318,132000,0
DS652,1974-09-01,283379,212800,0
CC636,1974-09-01,192092,104400,0
YP676,1974-09-01,775112,561800,0
TR758,1974-09-01,479537,290880,0
ON394,1974-09-01,224035,169280,0
ON369,1974-09-01,282355,170520,0
YP181,1974-09-01,32800,0,0
YP570,1974-09-01,229360,242190,0
TF359,1974-09-01,625939,427700,0
CC504,1974-09-01,537182,360750,0
TF740,1974-09-01,162696,113400,0
TF740,1974-09-01,221435,128520,0
BR710,1974-09-01,765534,432000,0
TF267,1974-09-01,801697,0,0
TF335,1974-09-01,462680,244800,0
CC782,1974-09-01,482305,304580,0
BR819,1974-09-01,354294,239400,0
TR791,1974-09-01,291092,170040,0
CC482,1974-09-01,340204,233100,0
AB494,1974-09-01,414234,321440,0
BR704,1974-09-01,564583,465660,0
ON397,1974-09-01,244330,0,0
DS241,1974-09-01,250585,178190,0
DS698,1974-09-01,362074,247800,0
RK345,1974-09-01,649981,333210,0
BR819,1974-10-01,116996,80840,0
RK403,1974-10-01,69747,43500,0
TF335,1974-10-01,326050,251790,0
RK345,1974-10-01,460792,219300,0
YP676,1974-10-01,555708,364800,0
TF359,1974-10-01,475183,340260,0
DS652,1974-10-01,146890,97760,0
YP570,1974-10-01,158094,124020,0
DS241,1974-10-01,104204,78540,0
CC482,1974-10-01,419912,266680,0
ON394,1974-10-01,173215,87300,0
TF740,1974-10-01,236986,147000,0
TF267,1974-10-01,760115,0,0
BR312,1974-10-01,424194,294220,0
ON397,1974-10-01,282810,182160,0
TR791,1974-10-01,49259,31610,0
BR704,1974-10-01,669205,350860,0
TR758,1974-10-01,509004,374680,0
AB257,1974-10-01,244486,238260,0
YP181,1974-10-01,545588,353100,0
BR710,1974-10-01,606374,402210,0
DS698,1974-10-01,135747,99960,0
TF695,1974-10-01,454527,324864,0
TF740,1974-10-01,157036,109480,0
AB494,1974-10-01,360735,296400,0
CC504,1974-10-01,399776,220800,0
CC782,1974-10-01,429083,202930,0
CC636,1974-10-01,273017,190950,0
ON369,1974-10-01,282752,152150,0
TF740,1974-11-01,376291,200030,0
CC482,1974-11-01,728111,315060,0
BR819,1974-11-01,427709,299880,0
BR704,1974-11-01,48799,34200,0
TF695,1974-11-01,363813,225544,0
BR312,1974-11-01,348827,246000,0
ON397,1974-11-01,646884,461340,0
DS241,1974-11-01,67702,37740,0
BR118,1974-11-01,15600,9020,0
TF740,1974-11-01,402914,274550,0
TF335,1974-11-01,777720,478240,0
DS652,1974-11-01,110767,50020,0
TF267,1974-11-01,609619,98770,0
DS873,1974-11-01,13950,0,0
AB257,1974-11-01,629188,432900,0
TR758,1974-11-01,300160,248920,0
DS698,1974-11-01,120922,68040,0
CC504,1974-11-01,778980,533400,0
ON369,1974-11-01,606088,342000,0
RK345,1974-11-01,38462,27140,0
AB494,1974-11-01,750509,609120,0
RK404,1974-11-01,6800,0,0
YP286,1974-11-01,12450,0,0
CC636,1974-11-01,317248,237620,0
BR710,1974-11-01,187934,136880,0
TF359,1974-11-01,164471,106600,0
YP181,1974-11-01,675641,512040,0
YP676,1974-11-01,155037,140120,0
CC636,1974-12-01,273399,187110,0
DS698,1974-12-01,67957,55200,0
AB419,1974-12-01,12240,0,0
